session,barIx,companyId,longTerm,shortTerm,longTermUncertainty,shortTermUncertainty
0,6,0,2,1,4,2
0,12,1,7,6,2,1
0,14,0,1,0,5,2
0,20,2,8,7,2,1
0,22,3,6,5,2,1
0,26,0,-4,-5,3,1
0,26,0,6,5,2,1
0,33,2,3,1,5,3
0,44,3,0,-1,7,5
0,47,1,8,7,2,1
0,48,1,-5,-6,6,3
1,3,0,-6,-7,3,1
1,5,1,5,6,3,1
1,6,2,-6,-5,3,2
1,6,0,6,5,4,2
1,11,2,6,5,3,2
1,12,1,7,6,2,1
1,14,3,0,-1,7,5
1,19,2,3,1,5,3
1,20,1,6,5,3,1
1,26,2,-5,-4,6,3
1,29,2,-5,-4,4,2
1,29,1,5,4,2,1
1,33,3,-5,-4,4,2
1,44,2,-7,-6,3,1
1,45,1,1,0,7,5
1,49,1,-6,-7,4,2
2,3,0,7,8,2,1
2,30,1,1,0,5,3
2,31,1,-5,-7,4,1
2,31,0,-4,-3,3,2
2,36,0,7,8,2,1
2,43,0,4,2,5,3
2,45,0,-3,-6,4,2
2,49,0,-6,-8,4,1
3,19,0,-5,-4,3,2
3,19,1,1,1,4,2
3,24,1,-3,-5,5,2
3,26,0,0,0,1,1
3,36,1,1,0,5,3
3,38,1,-4,-5,3,2
3,39,2,0,-1,8,6
3,46,2,6,5,2,1
3,49,2,7,6,2,1
4,0,0,-7,-6,2,1
4,15,1,1,0,6,3
4,20,0,4,3,3,2
4,25,2,-4,-7,4,1
4,31,2,2,0,7,5
4,38,1,5,6,2,1
5,1,0,7,6,2,1
5,4,1,-5,-4,3,2
5,6,2,1,0,7,5
5,16,0,4,2,5,3
5,27,3,-7,-6,3,2
5,27,1,6,7,2,1
5,32,1,0,0,8,8
5,47,1,7,6,2,1
6,2,0,3,-1,3,2
6,3,1,6,5,2,1
6,9,0,-3,-4,5,2
6,11,2,4,-1,3,2
6,17,3,-4,-3,6,4
6,24,3,6,6,2,1
6,24,2,4,2,4,3
6,26,2,-3,-4,5,3
6,28,1,1,0,2,1
6,36,1,0,0,1,1
6,48,3,6,6,2,1
7,5,0,6,7,3,1
7,15,0,0,0,1,1
7,16,0,7,7,2,1
7,18,1,0,0,5,5
7,20,1,7,8,2,1
7,25,0,-5,-7,4,2
7,28,1,-6,-4,3,2
7,29,0,5,2,5,3
7,31,2,5,2,6,4
8,1,0,6,7,2,1
8,5,0,4,1,3,2
8,6,1,7,8,2,1
8,7,0,3,2,6,4
8,8,0,-5,-6,4,2
8,19,1,4,3,4,2
8,21,1,8,9,1,1
8,29,2,0,0,1,1
9,1,0,0,0,1,1
9,6,1,0,0,1,1
9,8,2,-4,-3,3,2
9,9,2,1,1,5,4
9,10,2,-2,-4,3,1
9,12,2,6,5,2,1
9,13,3,0,0,7,6
9,26,1,-4,-5,3,2
9,32,1,1,0,8,5
9,39,0,-3,-3,5,3
9,48,2,-4,-3,4,2
9,48,1,-3,-3,5,3
10,0,0,2,1,5,2
10,0,1,0,0,2,1
10,12,2,7,8,2,1
10,12,3,-2,-3,6,4
10,14,1,1,0,4,2
10,17,3,-4,-5,3,2
10,26,3,2,0,3,2
10,28,0,7,8,2,1
10,35,3,0,0,2,1
10,38,3,7,8,2,1
10,39,2,1,0,5,3
10,41,1,4,3,5,3
10,47,2,-6,-8,4,1
11,13,0,4,2,5,3
11,16,1,-5,-4,6,3
11,17,2,1,0,8,5
11,19,3,-2,-5,6,2
11,25,0,-3,-6,4,2
11,44,0,5,3,3,2
12,0,0,1,0,5,3
12,0,1,7,8,2,1
12,3,0,-5,-8,4,1
12,4,1,2,1,6,3
12,15,1,5,2,4,3
12,16,2,-6,-4,5,3
12,17,0,4,5,2,1
12,22,3,-5,-6,3,2
12,25,3,4,5,3,1
12,25,1,4,1,5,4
12,33,2,-3,-4,4,2
12,34,2,5,4,3,2
12,35,2,1,1,6,5
12,42,1,8,9,2,1
12,43,0,6,7,2,1
12,43,1,2,0,7,5
12,48,1,2,1,8,6
13,1,0,-2,-3,6,4
13,3,1,7,5,3,2
13,3,2,1,1,5,4
13,4,1,1,2,4,3
13,47,2,3,2,7,4
14,7,0,-1,-1,7,6
14,8,0,7,8,2,1
14,17,1,6,7,2,1
14,17,0,-3,-6,4,2
14,19,2,2,1,8,5
14,21,1,-4,-5,5,3
14,32,1,6,7,2,1
14,33,3,4,5,2,1
14,40,3,5,6,2,1
14,41,3,3,1,6,3
14,48,0,-5,-6,4,2
14,49,0,2,-2,5,4
15,10,0,5,2,4,3
15,28,1,3,0,5,6
15,29,0,7,6,2,1
15,36,0,0,-1,6,4
15,39,1,4,3,3,2
15,40,1,5,4,2,1
15,49,2,1,1,5,4
16,6,0,7,8,2,1
16,6,1,2,0,5,4
16,16,2,1,0,6,3
16,19,1,0,0,2,1
16,29,0,-5,-6,3,1
16,33,0,5,6,2,1
16,35,0,2,0,6,4
16,36,3,1,0,3,2
16,36,0,2,1,7,5
16,45,1,1,1,4,3
16,47,3,4,2,5,3
16,48,2,0,0,1,1
17,5,0,2,0,6,3
17,7,1,1,0,4,2
17,24,2,-6,-7,3,1
17,27,1,-4,-8,5,2
17,47,3,4,1,7,5
18,0,0,-4,-6,4,2
18,0,1,6,5,3,2
18,2,2,-1,-1,7,5
18,8,2,1,0,6,5
18,9,3,-3,-4,4,2
18,28,0,2,1,8,6
18,46,1,-4,-3,5,3
19,0,0,6,5,3,2
19,5,1,-4,-6,4,2
19,6,1,4,2,3,4
19,7,0,1,0,5,4
19,9,2,5,2,4,3
19,18,1,2,1,7,5
19,22,0,1,0,3,2
19,36,1,3,1,6,3
19,41,2,6,7,2,1
20,0,0,-4,-3,3,2
20,0,1,1,1,6,4
20,5,2,-5,-6,4,2
20,6,0,-5,-4,3,2
20,9,1,4,5,2,1
20,10,0,2,1,8,5
20,10,2,4,5,2,1
20,14,2,3,2,5,3
20,16,3,1,0,7,4
20,24,1,6,7,2,1
20,25,3,2,1,6,4
20,30,3,6,7,2,1
20,45,1,4,5,2,1
20,45,3,4,3,4,2
20,48,0,6,7,2,1
20,49,2,1,0,7,4
21,1,0,2,1,6,4
21,3,1,1,0,3,2
21,6,2,4,1,4,3
21,6,1,-4,-5,2,1
21,19,0,2,1,5,3
21,22,1,3,2,4,2
21,25,3,-3,-6,4,2
21,33,1,5,2,6,4
21,43,1,4,3,2,1
21,46,1,5,6,3,1
22,0,0,-3,-4,4,2
22,3,1,0,0,2,1
22,4,1,3,4,2,1
22,6,1,-5,-6,3,1
22,7,1,-6,-7,3,1
22,26,1,3,4,2,1
22,32,2,5,4,3,2
22,36,2,0,0,1,1
22,39,2,0,0,1,1
22,45,3,-3,-4,4,2
23,3,0,6,7,2,1
23,5,1,7,7,2,1
23,10,2,-4,-5,4,2
23,10,0,6,5,2,1
23,12,2,-5,-3,6,4
23,12,0,8,8,1,1
23,24,1,4,4,2,1
23,28,3,1,0,5,3
23,37,3,2,1,7,5
23,40,3,0,0,1,1
23,48,3,1,0,5,3
24,5,0,0,0,2,1
24,6,1,3,2,3,1
24,11,2,4,2,5,3
24,15,1,0,-1,6,3
24,20,2,4,5,2,1
24,25,2,4,2,5,3
24,30,1,-3,-4,4,2
24,31,2,3,2,5,3
24,33,0,-5,-6,4,2
24,41,2,4,2,5,3
24,47,1,-3,-5,5,2
24,48,2,6,5,2,1
24,49,3,-1,-1,6,4
25,2,0,-4,-5,4,2
25,13,1,4,5,3,1
25,17,1,-3,-6,4,2
25,29,2,1,0,3,2
25,35,3,-4,-2,7,5
25,37,2,4,3,3,2
25,40,1,7,6,2,1
25,43,1,4,5,2,1
25,44,2,-2,-3,4,3
26,4,0,0,0,2,1
26,4,1,3,6,3,1
26,6,2,5,6,2,1
26,8,3,1,1,4,2
26,9,3,7,5,2,1
26,12,2,2,1,3,2
26,13,0,4,3,3,2
26,20,2,0,0,3,2
26,23,0,5,4,2,1
26,24,3,0,0,3,2
26,26,0,-4,-3,6,3
26,35,0,-3,-6,4,1
26,36,3,-4,-3,6,3
26,40,0,2,1,3,2
26,42,1,5,4,3,2
26,42,2,6,4,2,1
26,43,2,2,1,7,3
26,47,0,-1,-2,8,5
27,3,0,6,7,2,1
27,9,0,1,1,5,4
27,20,1,2,1,6,3
27,21,2,8,7,2,1
27,32,1,7,6,3,2
27,40,3,5,4,3,2
27,46,1,-3,-5,6,3
27,48,3,7,6,2,1
27,49,1,7,6,2,1
28,6,0,6,7,2,1
28,13,1,5,2,4,5
28,16,2,0,0,1,1
28,20,1,7,8,2,1
28,20,3,-5,-4,3,2
28,24,0,5,6,2,1
28,25,1,-6,-7,3,1
28,34,3,3,2,3,2
28,38,0,0,0,1,1
28,39,0,5,3,5,4
28,42,1,8,8,2,1
28,48,3,2,1,8,6
29,4,0,6,7,2,1
29,11,1,8,8,1,1
29,11,0,-5,-8,3,1
29,15,1,7,6,2,1
29,16,2,4,3,4,3
29,18,2,0,0,1,1
29,33,3,6,4,3,2
29,41,0,3,1,6,4
29,49,3,3,1,6,4
30,3,0,-5,-6,3,1
30,12,0,0,-1,7,5
30,18,0,-4,-3,4,2
30,21,1,-5,-3,3,2
30,27,1,4,3,2,1
30,27,2,4,2,4,3
30,38,3,-3,-2,3,1
30,41,2,-4,-5,2,1
30,43,2,-6,-5,3,2
30,45,1,4,5,2,1
30,48,0,7,8,1,1
31,14,0,6,7,2,1
31,15,1,1,1,5,3
31,18,2,7,8,2,1
31,33,0,2,2,4,3
31,35,2,1,1,5,3
